Record Number,Sample Name,sample_number,Dx (10),Dx (50),Dx (90),Weighted Residual,Laser Obscuration,Measurement Date Time,0.01,0.0114,0.0129,0.0147,0.0167,0.0189,0.0215,0.0244,0.0278,0.0315,0.0358,0.0407,0.0463,0.0526,0.0597,0.0679,0.0771,0.0876,0.0995,0.113,0.128,0.146,0.166,0.188,0.214,0.243,0.276,0.314,0.357,0.405,0.46,0.523,0.594,0.675,0.767,0.872,0.991,1.13,1.28,1.45,1.65,1.88,2.13,2.42,2.75,3.12,3.55,4.03,4.58,5.21,5.92,6.72,7.64,8.68,9.86,11.2,12.7,14.5,16.4,18.7,21.2,24.1,27.4,31.1,35.3,40.1,45.6,51.8,58.9,66.9,76,86.4,98.1,111,127,144,163,186,211,240,272,310,352,400,454,516,586,666,756,859,976,1110,1260,1430,1630,1850,2100,2390,2710,3080,3500
369,mouse_CY_4,4,25.1,113,263,5.67,0.33,10/6/2022 15:24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0.18,0.2,0.2,0.19,0.19,0.21,0.26,0.29,0.29,0.25,0.18,0.13,0.1,0.09,0.1,0.12,0.15,0.18,0.24,0.33,0.46,0.6,0.74,0.85,0.93,0.99,1.05,1.17,1.4,1.75,2.21,2.69,3.13,3.51,3.85,4.23,4.69,5.23,5.8,6.28,6.56,6.59,6.38,5.99,5.45,4.75,3.85,2.75,1.56,0.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
373,mouse_CY_8,8,32.8,143,322,4.09,0.41,10/6/2022 15:28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0.14,0.16,0.16,0.14,0.14,0.17,0.21,0.24,0.25,0.22,0.17,0.12,0.09,0.08,0.09,0.1,0.12,0.15,0.19,0.25,0.34,0.44,0.54,0.63,0.7,0.75,0.81,0.9,1.06,1.32,1.66,2.05,2.44,2.8,3.15,3.52,3.93,4.37,4.81,5.22,5.58,5.89,6.19,6.48,6.68,6.66,6.22,5.22,3.72,2.01,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
371,mouse_CY_8,8,37.7,178,414,3.3,0.42,10/6/2022 15:27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.15,0.18,0.17,0.15,0.14,0.15,0.18,0.2,0.21,0.18,0.14,0.1,0.08,0.07,0.08,0.09,0.1,0.12,0.16,0.21,0.29,0.38,0.48,0.56,0.62,0.66,0.69,0.75,0.87,1.05,1.3,1.6,1.9,2.21,2.53,2.89,3.3,3.72,4.11,4.42,4.61,4.74,4.9,5.18,5.63,6.2,6.69,6.85,6.42,5.3,3.66,1.92,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
372,mouse_CY_8,8,34.8,154,345,3.55,0.42,10/6/2022 15:28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0.14,0.16,0.16,0.14,0.14,0.16,0.19,0.22,0.23,0.2,0.15,0.11,0.09,0.08,0.09,0.1,0.12,0.14,0.17,0.23,0.31,0.41,0.51,0.6,0.67,0.72,0.77,0.84,0.99,1.21,1.5,1.83,2.16,2.48,2.81,3.17,3.59,4.07,4.57,5.05,5.46,5.81,6.12,6.42,6.66,6.74,6.51,5.79,4.55,2.93,1.35,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
375,mouse_CY_8,8,33.2,148,316,4.25,0.42,10/6/2022 15:29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0.14,0.16,0.16,0.15,0.14,0.16,0.19,0.22,0.23,0.2,0.16,0.12,0.1,0.09,0.09,0.11,0.13,0.15,0.19,0.25,0.33,0.43,0.52,0.61,0.67,0.72,0.79,0.9,1.08,1.36,1.72,2.1,2.46,2.78,3.06,3.34,3.66,4.04,4.47,4.96,5.47,6.01,6.54,7.01,7.27,7.16,6.49,5.22,3.48,1.69,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
385,mouse_CY_5,5,16.2,92.7,323,3.47,0.42,10/6/2022 15:37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0.22,0.31,0.35,0.33,0.3,0.27,0.29,0.34,0.38,0.4,0.38,0.33,0.28,0.26,0.25,0.25,0.26,0.28,0.31,0.37,0.47,0.6,0.77,0.93,1.07,1.18,1.25,1.33,1.46,1.71,2.08,2.56,3.08,3.58,4.01,4.41,4.82,5.26,5.68,5.98,6,5.66,4.96,4.06,3.16,2.5,2.19,2.2,2.37,2.45,2.27,1.78,1.16,0.57,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0
448,mouse_CY_25,25,3.99,126,419,8.21,0.42,10/6/2022 16:18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0.51,0.82,1.02,1.06,0.94,0.75,0.59,0.51,0.51,0.55,0.58,0.57,0.52,0.47,0.44,0.41,0.4,0.4,0.38,0.37,0.38,0.44,0.53,0.66,0.79,0.89,0.92,0.88,0.83,0.84,0.97,1.26,1.67,2.13,2.52,2.8,2.98,3.11,3.25,3.39,3.47,3.42,3.19,2.86,2.63,2.72,3.3,4.33,5.56,6.5,6.64,5.72,3.95,1.95,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
374,mouse_CY_8,8,34.9,155,397,3.18,0.43,10/6/2022 15:28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0.14,0.16,0.16,0.14,0.14,0.15,0.18,0.21,0.22,0.19,0.15,0.12,0.1,0.09,0.1,0.11,0.13,0.15,0.18,0.24,0.31,0.4,0.49,0.58,0.64,0.69,0.75,0.84,1.01,1.25,1.56,1.91,2.27,2.61,2.95,3.32,3.74,4.17,4.58,4.88,5.04,5.08,5.07,5.12,5.29,5.56,5.81,5.83,5.41,4.45,3.08,1.64,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
382,mouse_CY_5,5,16,89.7,241,3.8,0.43,10/6/2022 15:35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0.25,0.34,0.38,0.37,0.32,0.28,0.29,0.33,0.38,0.4,0.37,0.33,0.28,0.26,0.25,0.25,0.26,0.28,0.31,0.37,0.46,0.6,0.76,0.93,1.08,1.19,1.28,1.37,1.51,1.75,2.12,2.59,3.12,3.63,4.1,4.57,5.08,5.63,6.16,6.56,6.65,6.32,5.58,4.55,3.44,2.5,1.88,1.61,1.58,1.57,1.43,1.08,0.64,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
383,mouse_CY_5,5,19,106,484,3.68,0.43,10/6/2022 15:36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0.19,0.28,0.31,0.3,0.27,0.25,0.27,0.32,0.36,0.37,0.34,0.29,0.24,0.21,0.2,0.21,0.23,0.25,0.28,0.33,0.4,0.51,0.64,0.78,0.9,1,1.08,1.17,1.3,1.52,1.85,2.27,2.72,3.16,3.55,3.93,4.34,4.77,5.18,5.44,5.44,5.06,4.34,3.4,2.5,1.86,1.68,1.99,2.63,3.32,3.76,3.77,3.31,2.49,1.52,0.66,0.15,0,0,0,0,0,0,0,0,0,0,0
381,mouse_CY_5,5,19,103,308,3.26,0.44,10/6/2022 15:35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.21,0.3,0.34,0.33,0.29,0.26,0.26,0.3,0.34,0.35,0.33,0.28,0.24,0.21,0.2,0.21,0.22,0.24,0.27,0.32,0.39,0.51,0.64,0.78,0.9,1.01,1.09,1.17,1.3,1.52,1.85,2.25,2.71,3.15,3.57,4,4.49,5.05,5.63,6.12,6.38,6.29,5.81,5.04,4.16,3.36,2.8,2.51,2.41,2.3,2.03,1.56,1,0.48,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0
